Ranking,University,Location,Year
1,Massachusetts Institute of Technology (MIT),"Cambridge, United States",2017
2,Stanford University,"Stanford, United States",2017
3,Harvard University,"Cambridge, United States",2017
4,University of Cambridge,"Cambridge, United Kingdom",2017
5,California Institute of Technology (Caltech),"Pasadena, United States",2017
6,University of Oxford,"Oxford, United Kingdom",2017
7,UCL,"London, United Kingdom",2017
8,ETH Zurich - Swiss Federal Institute of Technology,"Zürich, Switzerland",2017
9,Imperial College London,"London, United Kingdom",2017
10,University of Chicago,"Chicago, United States",2017
11,Princeton University,"Princeton, United States",2017
12,National University of Singapore (NUS),"Singapore, Singapore",2017
13,"Nanyang Technological University, Singapore (NTU)","Singapore, Singapore",2017
14,EPFL,"Lausanne, Switzerland",2017
15,Yale University,"New Haven, United States",2017
16,Cornell University,"Ithaca, United States",2017
17,Johns Hopkins University,"Baltimore, United States",2017
18,University of Pennsylvania,"Philadelphia, United States",2017
19,The University of Edinburgh,"Edinburgh, United Kingdom",2017
20,Columbia University,"New York City, United States",2017
21,King's College London,"London, United Kingdom",2017
22,The Australian National University,"Canberra, Australia",2017
23,University of Michigan-Ann Arbor,"Ann Arbor, United States",2017
24,Tsinghua University,"Beijing, China (Mainland)",2017
24,Duke University,"Durham, United States",2017
26,Northwestern University,"Evanston, United States",2017
27,The University of Hong Kong,"Hong Kong, Hong Kong SAR",2017
28,"University of California, Berkeley (UCB)","Berkeley, United States",2017
29,The University of Manchester,"Manchester, United Kingdom",2017
30,McGill University,"Montreal, Canada",2017
31,"University of California, Los Angeles (UCLA)","Los Angeles, United States",2017
32,University of Toronto,"Toronto, Canada",2017
33,"Ecole normale supérieure, Paris","Paris, France",2017
34,The University of Tokyo,"Tokyo, Japan",2017
35,Seoul National University,"Seoul, South Korea",2017
36,The Hong Kong University of Science and Technology,"Hong Kong, Hong Kong SAR",2017
37,Kyoto University,"Kyoto, Japan",2017
37,The London School of Economics and Political Science (LSE),"London, United Kingdom",2017
39,Peking University,"Beijing, China (Mainland)",2017
40,"University of California, San Diego (UCSD)","San Diego, United States",2017
41,University of Bristol,"Bristol, United Kingdom",2017
42,The University of Melbourne,"Parkville, Australia",2017
43,Fudan University,"Shanghai, China (Mainland)",2017
44,The Chinese University of Hong Kong (CUHK),"Hong Kong, Hong Kong SAR",2017
45,University of British Columbia,"Vancouver, Canada",2017
46,The University of Sydney,"Sydney, Australia",2017
46,New York University (NYU),"New York City, United States",2017
46,KAIST - Korea Advanced Institute of Science & Technology,"Daejeon, South Korea",2017
49,The University of New South Wales (UNSW Sydney),"Sydney, Australia",2017
49,Brown University,"Providence, United States",2017
51,The University of Queensland,"Brisbane, Australia",2017
51,The University of Warwick,"Coventry, United Kingdom",2017
53,University of Wisconsin-Madison,"Madison, United States",2017
53,Ecole Polytechnique,"Palaiseau, France",2017
55,City University of Hong Kong,"Hong Kong, Hong Kong SAR",2017
56,Tokyo Institute of Technology (Tokyo Tech),"Tokyo, Japan",2017
57,University of Amsterdam,"Amsterdam, Netherlands",2017
58,Carnegie Mellon University,"Pittsburgh, United States",2017
59,University of Washington,"Seattle, United States",2017
60,Technical University of Munich,"Munich, Germany",2017
61,Shanghai Jiao Tong University,"Shanghai, China (Mainland)",2017
62,Delft University of Technology,"Delft, Netherlands",2017
63,Osaka University,"Osaka City, Japan",2017
63,University of Glasgow,"Glasgow, United Kingdom",2017
65,Monash University,"Melbourne, Australia",2017
66,University of Illinois at Urbana-Champaign,"Champaign, United States",2017
67,University of Texas at Austin,"Austin, United States",2017
68,Ludwig-Maximilians-Universität München,"Munich, Germany",2017
68,National Taiwan University (NTU),"Taipei City, Taiwan",2017
68,University of Copenhagen,"Copenhagen, Denmark",2017
71,Georgia Institute of Technology,"Atlanta, United States",2017
72,Ruprecht-Karls-Universität Heidelberg,"Heidelberg, Germany",2017
73,Lund University,"Lund, Sweden",2017
74,Durham University,"Durham, United Kingdom",2017
75,Tohoku University,"Sendai City, Japan",2017
75,University of Nottingham,"Nottingham, United Kingdom",2017
77,University of St Andrews,"St. Andrews, United Kingdom",2017
78,"University of North Carolina, Chapel Hill","Chapel Hill, United States",2017
79,KU Leuven,"Leuven, Belgium",2017
80,University of Zurich,"Zürich, Switzerland",2017
81,The University of Auckland,"Auckland, New Zealand",2017
82,University of Birmingham,"Birmingham, United Kingdom",2017
83,Pohang University of Science And Technology (POSTECH),"Pohang , South Korea",2017
84,The University of Sheffield,"Sheffield, United Kingdom",2017
85,Universidad de Buenos Aires (UBA),"Buenos Aires, Argentina",2017
85,"University of California, Davis","Davis, United States",2017
87,University of Southampton,"Southampton, United Kingdom",2017
88,The Ohio State University,"Columbus, United States",2017
89,Boston University,"Boston, United States",2017
90,Rice University,"Houston, United States",2017
91,University of Helsinki,"Helsinki, Finland",2017
92,Purdue University,"West Lafayette, United States",2017
93,University of Leeds,"Leeds, United Kingdom",2017
94,University of Alberta,"Edmonton, Canada",2017
95,Pennsylvania State University,"University Park, United States",2017
95,University of Geneva,"Geneva, Switzerland",2017
97,KTH Royal Institute of Technology,"Stockholm, Sweden",2017
98,Uppsala University,"Uppsala, Sweden",2017
98,Korea University,"Seoul, South Korea",2017
98,"Trinity College Dublin, The University of Dublin","Dublin, Ireland",2017
98,"KIT, Karlsruhe Institute of Technology","Karlsruhe, Germany",2017
102,Leiden University,"Leiden, Netherlands",2017
102,The University of Western Australia,"Perth, Australia",2017
104,Utrecht University,"Utrecht, Netherlands",2017
104,University of Science and Technology of China,"Hefei, China (Mainland)",2017
106,Sungkyunkwan University(SKKU),"Suwon, South Korea",2017
106,Washington University in St. Louis,"St. Louis, United States",2017
108,Lomonosov Moscow State University,"Moscow, Russia",2017
109,Technical University of Denmark,"Kongens Lyngby, Denmark",2017
110,Zhejiang University,"Hangzhou, China (Mainland)",2017
111,The Hong Kong Polytechnic University,"Hong Kong, Hong Kong SAR",2017
112,Yonsei University,"Seoul, South Korea",2017
113,University of Oslo,"Oslo, Norway",2017
113,University of Groningen,"Groningen, Netherlands",2017
115,Nanjing University,"Nanjing, China (Mainland)",2017
115,Nagoya University,"Nagoya, Japan",2017
117,Aarhus University,Denmark,2017
118,"University of California, Santa Barbara (UCSB)","Santa Barbara, United States",2017
119,Wageningen University & Research,"Wageningen, Netherlands",2017
120,Universidade de São Paulo,"São Paulo, Brazil",2017
121,Humboldt-Universität zu Berlin,"Berlin, Germany",2017
121,Eindhoven University of Technology,"Eindhoven, Netherlands",2017
123,Freie Universitaet Berlin,"Berlin, Germany",2017
123,Queen Mary University of London,"London, United Kingdom",2017
125,The University of Adelaide,"Adelaide, Australia",2017
126,Université de Montréal,"Montreal, Canada",2017
127,University of York,"York, United Kingdom",2017
128,Universidad Nacional Autónoma de México  (UNAM),"Mexico City, Mexico",2017
129,Lancaster University,"Lancaster, United Kingdom",2017
130,Hokkaido University,"Sapporo, Japan",2017
131,Ghent University,"Ghent, Belgium",2017
131,"University of Maryland, College Park","College Park, United States",2017
133,Universiti Malaya (UM),"Kuala Lumpur, Malaysia",2017
133,Aalto University,"Espoo, Finland",2017
135,Kyushu University,"Fukuoka City, Japan",2017
136,University of Southern California,"Los Angeles, United States",2017
137,University of Minnesota Twin Cities,"Minneapolis, United States",2017
138,University of Lausanne,"Lausanne, Switzerland",2017
139,Chalmers University of Technology,"Gothenburg, Sweden",2017
140,Cardiff University,"Cardiff, United Kingdom",2017
141,Université Pierre et Marie Curie (UPMC),"Paris, France",2017
141,University of Basel,"Basel, Switzerland",2017
141,University of Aberdeen,"Aberdeen, United Kingdom",2017
144,Erasmus University Rotterdam,"Rotterdam, Netherlands",2017
145,University of Pittsburgh,"Pittsburgh, United States",2017
146,RWTH Aachen University,"Aachen, Germany",2017
147,Pontificia Universidad Católica de Chile (UC),"Santiago, Chile",2017
148,The Hebrew University of Jerusalem,"Jerusalem, Israel",2017
149,McMaster University,"Hamilton, Canada",2017
149,Emory University,"Atlanta, United States",2017
151,National Tsing Hua University,"Hsinchu City, Taiwan",2017
152,University of Waterloo,"Waterloo, Canada",2017
152,Indian Institute of Science,"Bangalore, India",2017
154,Université catholique de Louvain (UCLouvain),"Louvain-la-Neuve, Belgium",2017
155,University of Vienna,"Vienna, Austria",2017
156,"University of California, Irvine","Irvine, United States",2017
157,University of Liverpool,"Liverpool, United Kingdom",2017
158,Dartmouth College,"Hanover, United States",2017
159,University of Bath,"Bath, United Kingdom",2017
160,Universitat de Barcelona,"Barcelona, Spain",2017
160,Texas A&M University,"Galveston, United States",2017
160,Michigan State University,"East Lansing, United States",2017
163,Albert-Ludwigs-Universitaet Freiburg,"Freiburg im Breisgau, Germany",2017
164,Technische Universität Berlin (TU Berlin),"Berlin, Germany",2017
164,The University of Exeter,"Exeter, United Kingdom",2017
164,CentraleSupélec,"Saint-Aubin, France",2017
167,Eberhard Karls Universität Tübingen,"Tübingen, Germany",2017
168,Newcastle University,"Newcastle upon Tyne, United Kingdom",2017
169,University of Otago,"Dunedin, New Zealand",2017
170,University of Colorado Boulder,"Boulder, United States",2017
171,Hanyang University,"Seoul, South Korea",2017
172,University of Virginia,"Charlottesville, United States",2017
173,Maastricht University,"Maastricht, Netherlands",2017
174,National Chiao Tung University,"Hsinchu City, Taiwan",2017
175,University of Reading,"Reading, United Kingdom",2017
176,University College Dublin,"Dublin, Ireland",2017
177,University of Göttingen,"Göttingen, Germany",2017
177,École Normale Supérieure de Lyon,"Lyon, France",2017
177,University of Bergen,"Bergen, Norway",2017
177,University of Twente,"Enschede, Netherlands",2017
181,University of Bern,"Bern, Switzerland",2017
182,Vrije Universiteit Brussel (VUB),"Brussels, Belgium",2017
183,Politecnico di Milano,"Milan, Italy",2017
183,Technische Universität Wien,"Vienna, Austria",2017
185,University of Florida,"Gainesville, United States",2017
185,University of Rochester,"Rochester, United States",2017
185,Indian Institute of Technology Delhi (IITD),"New Delhi, India",2017
187,University of Illinois at Chicago (UIC),"Chicago, United States",2017
187,University of Sussex,"Brighton, United Kingdom",2017
189,King Fahd University of Petroleum & Minerals,"Dhahran, Saudi Arabia",2017
190,Radboud University,"Nijmegen, Netherlands",2017
191,Universidade Estadual de Campinas (Unicamp),"Campinas, Brazil",2017
191,University of Cape Town,"Cape Town, South Africa",2017
193,University of Technology Sydney,"Haymarket, Australia",2017
195,Queen's University Belfast,United Kingdom,2017
196,Stockholm University,"Stockholm, Sweden",2017
196,University of Calgary,"Calgary, Canada",2017
198,Western University,"London, Canada",2017
199,Vrije Universiteit Amsterdam,"Amsterdam, Netherlands",2017
200,Universidad de Chile,"Santiago, Chile",2017
201,Waseda University,"Tokyo, Japan",2017
202,Case Western Reserve University,"Cleveland, United States",2017
203,Universitat Autònoma de Barcelona,"Barcelona, Spain",2017
203,Vanderbilt University,"Nashville, United States",2017
203,University of Notre Dame,"Notre Dame, United States",2017
206,Université Grenoble Alpes,"Grenoble, France",2017
206,Tecnológico de Monterrey,"Monterrey, Mexico",2017
208,Alma Mater Studiorum - University of Bologna,"Bologna, Italy",2017
209,University of Antwerp,"Antwerp, Belgium",2017
210,Universidad Autónoma de Madrid,"Madrid, Spain",2017
210,Technische Universität Dresden,"Dresden, Germany",2017
212,Tel Aviv University,"Tel Aviv, Israel",2017
213,Technion - Israel Institute of Technology,"Haifa, Israel",2017
214,University of Canterbury,"Christchurch, New Zealand",2017
214,Georgetown University,"Washington D.C., United States",2017
216,Keio University,"Tokyo, Japan",2017
216,Universite libre de Bruxelles,"Brussels, Belgium",2017
218,University of Wollongong,"Wollongong, Australia",2017
