University,Location
Massachusetts Institute of Technology (MIT),"Cambridge, United States"
Stanford University,"Stanford, United States"
Harvard University,"Cambridge, United States"
University of Cambridge,"Cambridge, United Kingdom"
California Institute of Technology (Caltech),"Pasadena, United States"
University of Oxford,"Oxford, United Kingdom"
UCL,"London, United Kingdom"
ETH Zurich - Swiss Federal Institute of Technology,"Z??rich, Switzerland"
Imperial College London,"London, United Kingdom"
University of Chicago,"Chicago, United States"
Princeton University,"Princeton, United States"
National University of Singapore (NUS),"Singapore, Singapore"
"Nanyang Technological University, Singapore (NTU)","Singapore, Singapore"
EPFL,"Lausanne, Switzerland"
Yale University,"New Haven, United States"
Cornell University,"Ithaca, United States"
Johns Hopkins University,"Baltimore, United States"
University of Pennsylvania,"Philadelphia, United States"
The University of Edinburgh,"Edinburgh, United Kingdom"
Columbia University,"New York City, United States"
King's College London,"London, United Kingdom"
The Australian National University,"Canberra, Australia"
University of Michigan-Ann Arbor,"Ann Arbor, United States"
Tsinghua University,"Beijing, China (Mainland)"
Duke University,"Durham, United States"
Northwestern University,"Evanston, United States"
The University of Hong Kong,"Hong Kong, Hong Kong SAR"
"University of California, Berkeley (UCB)","Berkeley, United States"
The University of Manchester,"Manchester, United Kingdom"
McGill University,"Montreal, Canada"
"University of California, Los Angeles (UCLA)","Los Angeles, United States"
University of Toronto,"Toronto, Canada"
"Ecole normale sup??rieure, Paris","Paris, France"
The University of Tokyo,"Tokyo, Japan"
Seoul National University,"Seoul, South Korea"
The Hong Kong University of Science and Technology,"Hong Kong, Hong Kong SAR"
Kyoto University,"Kyoto, Japan"
The London School of Economics and Political Science (LSE),"London, United Kingdom"
Peking University,"Beijing, China (Mainland)"
"University of California, San Diego (UCSD)","San Diego, United States"
University of Bristol,"Bristol, United Kingdom"
The University of Melbourne,"Parkville, Australia"
Fudan University,"Shanghai, China (Mainland)"
The Chinese University of Hong Kong (CUHK),"Hong Kong, Hong Kong SAR"
University of British Columbia,"Vancouver, Canada"
The University of Sydney,"Sydney, Australia"
New York University (NYU),"New York City, United States"
KAIST - Korea Advanced Institute of Science & Technology,"Daejeon, South Korea"
The University of New South Wales (UNSW Sydney),"Sydney, Australia"
Brown University,"Providence, United States"
The University of Queensland,"Brisbane, Australia"
The University of Warwick,"Coventry, United Kingdom"
University of Wisconsin-Madison,"Madison, United States"
Ecole Polytechnique,"Palaiseau, France"
City University of Hong Kong,"Hong Kong, Hong Kong SAR"
Tokyo Institute of Technology (Tokyo Tech),"Tokyo, Japan"
University of Amsterdam,"Amsterdam, Netherlands"
Carnegie Mellon University,"Pittsburgh, United States"
University of Washington,"Seattle, United States"
Technical University of Munich,"Munich, Germany"
Shanghai Jiao Tong University,"Shanghai, China (Mainland)"
Delft University of Technology,"Delft, Netherlands"
Osaka University,"Osaka City, Japan"
University of Glasgow,"Glasgow, United Kingdom"
Monash University,"Melbourne, Australia"
University of Illinois at Urbana-Champaign,"Champaign, United States"
University of Texas at Austin,"Austin, United States"
Ludwig-Maximilians-Universit??t M??nchen,"Munich, Germany"
National Taiwan University (NTU),"Taipei City, Taiwan"
University of Copenhagen,"Copenhagen, Denmark"
Georgia Institute of Technology,"Atlanta, United States"
Ruprecht-Karls-Universit??t Heidelberg,"Heidelberg, Germany"
Lund University,"Lund, Sweden"
Durham University,"Durham, United Kingdom"
Tohoku University,"Sendai City, Japan"
University of Nottingham,"Nottingham, United Kingdom"
University of St Andrews,"St. Andrews, United Kingdom"
"University of North Carolina, Chapel Hill","Chapel Hill, United States"
KU Leuven,"Leuven, Belgium"
University of Zurich,"Z??rich, Switzerland"
The University of Auckland,"Auckland, New Zealand"
University of Birmingham,"Birmingham, United Kingdom"
Pohang University of Science And Technology (POSTECH),"Pohang , South Korea"
The University of Sheffield,"Sheffield, United Kingdom"
Universidad de Buenos Aires (UBA),"Buenos Aires, Argentina"
"University of California, Davis","Davis, United States"
University of Southampton,"Southampton, United Kingdom"
The Ohio State University,"Columbus, United States"
Boston University,"Boston, United States"
Rice University,"Houston, United States"
University of Helsinki,"Helsinki, Finland"
Purdue University,"West Lafayette, United States"
University of Leeds,"Leeds, United Kingdom"
University of Alberta,"Edmonton, Canada"
Pennsylvania State University,"University Park, United States"
University of Geneva,"Geneva, Switzerland"
KTH Royal Institute of Technology,"Stockholm, Sweden"
Uppsala University,"Uppsala, Sweden"
Korea University,"Seoul, South Korea"
"Trinity College Dublin, The University of Dublin","Dublin, Ireland"
"KIT, Karlsruhe Institute of Technology","Karlsruhe, Germany"
Leiden University,"Leiden, Netherlands"
The University of Western Australia,"Perth, Australia"
Utrecht University,"Utrecht, Netherlands"
University of Science and Technology of China,"Hefei, China (Mainland)"
Sungkyunkwan University(SKKU),"Suwon, South Korea"
Washington University in St. Louis,"St. Louis, United States"
Lomonosov Moscow State University,"Moscow, Russia"
Technical University of Denmark,"Kongens Lyngby, Denmark"
Zhejiang University,"Hangzhou, China (Mainland)"
The Hong Kong Polytechnic University,"Hong Kong, Hong Kong SAR"
Yonsei University,"Seoul, South Korea"
University of Oslo,"Oslo, Norway"
University of Groningen,"Groningen, Netherlands"
Nanjing University,"Nanjing, China (Mainland)"
Nagoya University,"Nagoya, Japan"
Aarhus University,Denmark
"University of California, Santa Barbara (UCSB)","Santa Barbara, United States"
Wageningen University & Research,"Wageningen, Netherlands"
Universidade de S??o Paulo,"S??o Paulo, Brazil"
Humboldt-Universit??t zu Berlin,"Berlin, Germany"
Eindhoven University of Technology,"Eindhoven, Netherlands"
Freie Universitaet Berlin,"Berlin, Germany"
Queen Mary University of London,"London, United Kingdom"
The University of Adelaide,"Adelaide, Australia"
Universit?? de Montr??al,"Montreal, Canada"
University of York,"York, United Kingdom"
Universidad Nacional Aut??noma de M??xico  (UNAM),"Mexico City, Mexico"
Lancaster University,"Lancaster, United Kingdom"
Hokkaido University,"Sapporo, Japan"
Ghent University,"Ghent, Belgium"
"University of Maryland, College Park","College Park, United States"
Universiti Malaya (UM),"Kuala Lumpur, Malaysia"
Aalto University,"Espoo, Finland"
Kyushu University,"Fukuoka City, Japan"
University of Southern California,"Los Angeles, United States"
University of Minnesota Twin Cities,"Minneapolis, United States"
University of Lausanne,"Lausanne, Switzerland"
Chalmers University of Technology,"Gothenburg, Sweden"
Cardiff University,"Cardiff, United Kingdom"
Universit?? Pierre et Marie Curie (UPMC),"Paris, France"
University of Basel,"Basel, Switzerland"
University of Aberdeen,"Aberdeen, United Kingdom"
Erasmus University Rotterdam,"Rotterdam, Netherlands"
University of Pittsburgh,"Pittsburgh, United States"
RWTH Aachen University,"Aachen, Germany"
Pontificia Universidad Cat??lica de Chile (UC),"Santiago, Chile"
The Hebrew University of Jerusalem,"Jerusalem, Israel"
McMaster University,"Hamilton, Canada"
Emory University,"Atlanta, United States"
National Tsing Hua University,"Hsinchu City, Taiwan"
University of Waterloo,"Waterloo, Canada"
Indian Institute of Science,"Bangalore, India"
Universit?? catholique de Louvain (UCLouvain),"Louvain-la-Neuve, Belgium"
University of Vienna,"Vienna, Austria"
"University of California, Irvine","Irvine, United States"
University of Liverpool,"Liverpool, United Kingdom"
Dartmouth College,"Hanover, United States"
University of Bath,"Bath, United Kingdom"
Universitat de Barcelona,"Barcelona, Spain"
Texas A&M University,"Galveston, United States"
Michigan State University,"East Lansing, United States"
Albert-Ludwigs-Universitaet Freiburg,"Freiburg im Breisgau, Germany"
Technische Universit??t Berlin (TU Berlin),"Berlin, Germany"
The University of Exeter,"Exeter, United Kingdom"
CentraleSup??lec,"Saint-Aubin, France"
Eberhard Karls Universit??t T??bingen,"T??bingen, Germany"
Newcastle University,"Newcastle upon Tyne, United Kingdom"
University of Otago,"Dunedin, New Zealand"
University of Colorado Boulder,"Boulder, United States"
Hanyang University,"Seoul, South Korea"
University of Virginia,"Charlottesville, United States"
Maastricht University,"Maastricht, Netherlands"
National Chiao Tung University,"Hsinchu City, Taiwan"
University of Reading,"Reading, United Kingdom"
University College Dublin,"Dublin, Ireland"
University of G??ttingen,"G??ttingen, Germany"
??cole Normale Sup??rieure de Lyon,"Lyon, France"
University of Bergen,"Bergen, Norway"
University of Twente,"Enschede, Netherlands"
University of Bern,"Bern, Switzerland"
Vrije Universiteit Brussel (VUB),"Brussels, Belgium"
Politecnico di Milano,"Milan, Italy"
Technische Universit??t Wien,"Vienna, Austria"
University of Florida,"Gainesville, United States"
University of Rochester,"Rochester, United States"
Indian Institute of Technology Delhi (IITD),"New Delhi, India"
University of Illinois at Chicago (UIC),"Chicago, United States"
University of Sussex,"Brighton, United Kingdom"
King Fahd University of Petroleum & Minerals,"Dhahran, Saudi Arabia"
Radboud University,"Nijmegen, Netherlands"
Universidade Estadual de Campinas (Unicamp),"Campinas, Brazil"
University of Cape Town,"Cape Town, South Africa"
University of Technology Sydney,"Haymarket, Australia"
Queen's University Belfast,United Kingdom
Stockholm University,"Stockholm, Sweden"
University of Calgary,"Calgary, Canada"
Western University,"London, Canada"
Vrije Universiteit Amsterdam,"Amsterdam, Netherlands"
Universidad de Chile,"Santiago, Chile"
Waseda University,"Tokyo, Japan"
Case Western Reserve University,"Cleveland, United States"
Universitat Aut??noma de Barcelona,"Barcelona, Spain"
Vanderbilt University,"Nashville, United States"
University of Notre Dame,"Notre Dame, United States"
Universit?? Grenoble Alpes,"Grenoble, France"
Tecnol??gico de Monterrey,"Monterrey, Mexico"
Alma Mater Studiorum - University of Bologna,"Bologna, Italy"
University of Antwerp,"Antwerp, Belgium"
Universidad Aut??noma de Madrid,"Madrid, Spain"
Technische Universit??t Dresden,"Dresden, Germany"
Tel Aviv University,"Tel Aviv, Israel"
Technion - Israel Institute of Technology,"Haifa, Israel"
University of Canterbury,"Christchurch, New Zealand"
Georgetown University,"Washington D.C., United States"
Keio University,"Tokyo, Japan"
Universite libre de Bruxelles,"Brussels, Belgium"
University of Wollongong,"Wollongong, Australia"
Indian Institute of Technology Bombay (IITB),"Mumbai, India"
Sciences Po,"Paris, France"
Universit?? Paris-Sorbonne (Paris IV),"Paris, France"
Arizona State University,"Phoenix, United States"
Sapienza University of Rome,"Rome, Italy"
Queen's University at Kingston,"Kingston, Canada"
University of Tsukuba,"Tsukuba City, Japan"
