Ranking,University,Location,Overall Score,Academic Reputation,Employer Reputation,Faculty Student Ratio,Citations per Faculty,International Faculty Ratio,International Students Ratio
1,Massachusetts Institute of Technology (MIT),"Cambridge, United States",100,100,100,100,99.9,100,96.6
2,Stanford University,"Stanford, United States",98.7,100,100,100,99.7,99.7,74
3,Harvard University,"Cambridge, United States",98.3,100,100,98.5,100,100,70.4
4,University of Cambridge,"Cambridge, United Kingdom",97.2,100,100,100,86.5,97.6,97.8
5,California Institute of Technology (Caltech),"Pasadena, United States",96.9,99.4,80.7,100,100,91.2,87.7
6,University of Oxford,"Oxford, United Kingdom",96.8,100,100,100,83.6,98.7,98.2
7,UCL,"London, United Kingdom",95.6,99.8,99.3,98.7,79.1,99.1,100
8,ETH Zurich - Swiss Federal Institute of Technology,"Zürich, Switzerland",94.2,99.6,98.9,73.3,98.3,100,98.8
9,Imperial College London,"London, United Kingdom",94.1,99.6,100,100,69.8,100,100
10,University of Chicago,"Chicago, United States",93,99.9,94.1,95.4,88.7,66.5,70.5
11,Princeton University,"Princeton, United States",92.8,100,97.9,81.8,100,65.3,68.7
12,National University of Singapore (NUS),"Singapore, Singapore",91.5,100,100,88.1,70.9,100,90.8
13,"Nanyang Technological University, Singapore (NTU)","Singapore, Singapore",91.4,91.6,94.1,94,83.6,100,93.9
14,EPFL,"Lausanne, Switzerland",91.1,82.1,93.5,93.9,99.1,100,100
15,Yale University,"New Haven, United States",90.9,100,99.9,100,65.2,91.1,65
16,Cornell University,"Ithaca, United States",90.1,99.6,94,68.9,95.9,91.6,66
17,Johns Hopkins University,"Baltimore, United States",89.3,94.8,64.7,100,81.8,98.1,69.7
18,University of Pennsylvania,"Philadelphia, United States",89,97.4,96.5,100,72.9,51.1,64.2
19,The University of Edinburgh,"Edinburgh, United Kingdom",88.9,99.2,95,87.6,61.7,95.3,99.1
20,Columbia University,"New York City, United States",88.6,99.9,99.2,100,60.5,37.8,93.7
21,King's College London,"London, United Kingdom",87.7,91.8,91.1,88.2,71.2,97.6,99.3
22,The Australian National University,"Canberra, Australia",87.3,99.1,89.6,56.5,86.9,100,96.3
23,University of Michigan-Ann Arbor,"Ann Arbor, United States",86.4,99.6,89.6,86.7,71.7,80.8,37.9
=24,Tsinghua University,"Beijing, China (Mainland)",86,99,99.2,85.6,79.5,43.3,28.1
=24,Duke University,"Durham, United States",86,94,78.3,99.2,86,,56.7
26,Northwestern University,"Evanston, United States",85.7,90.2,76.7,94.3,94.4,33.4,51.7
27,The University of Hong Kong,"Hong Kong, Hong Kong SAR",85.4,98.9,93.8,84,47.3,100,99.3
28,"University of California, Berkeley (UCB)","Berkeley, United States",85.2,100,99.9,31.4,99.8,98.1,79.2
29,The University of Manchester,"Manchester, United Kingdom",84.8,97.9,99.7,76.9,53.5,90.1,98.6
30,McGill University,"Montreal, Canada",84.1,97.3,93.7,68.8,63.1,90.9,95.2
31,"University of California, Los Angeles (UCLA)","Los Angeles, United States",84,100,99.6,61.6,87.6,34.1,50.7
32,University of Toronto,"Toronto, Canada",83.8,99.8,92.8,74.5,50,97.2,93.1
33,"Ecole normale supérieure, Paris","Paris, France",82.9,82.1,71.8,76.6,100,84.5,65.1
34,The University of Tokyo,"Tokyo, Japan",82.6,100,99.6,92.2,64.4,,
35,Seoul National University,"Seoul, South Korea",82.1,98.5,96.1,82.1,72.9,26,
36,The Hong Kong University of Science and Technology,"Hong Kong, Hong Kong SAR",81.8,91.1,86,45.7,87.5,100,98.7
=37,Kyoto University,"Kyoto, Japan",81.7,99.7,92.6,95.3,60.3,,
=37,The London School of Economics and Political Science (LSE),"London, United Kingdom",81.7,88.8,100,57.1,72.3,100,100
39,Peking University,"Beijing, China (Mainland)",81.3,99.8,99.8,66.4,64.8,53.6,49.6
40,"University of California, San Diego (UCSD)","San Diego, United States",80.6,95.9,62.8,64.9,92.1,52.9,39.1
41,University of Bristol,"Bristol, United Kingdom",79.6,85.5,94.8,73.8,62.7,88.8,82.4
42,The University of Melbourne,"Parkville, Australia",79.5,99.7,99.2,27.5,75.1,82.6,99.3
43,Fudan University,"Shanghai, China (Mainland)",79.4,90.8,95.3,65.6,73.9,66.7,46.5
44,The Chinese University of Hong Kong (CUHK),"Hong Kong, Hong Kong SAR",78.1,92.4,82,65.9,53.4,99.5,79.9
45,University of British Columbia,"Vancouver, Canada",78,99.1,95.5,38.1,66.8,87.2,68.3
=46,The University of Sydney,"Sydney, Australia",77.9,99.1,98.1,25.7,67.1,99.8,94.9
=46,New York University (NYU),"New York City, United States",77.9,97.3,96.2,95,28.3,,82.4
=46,KAIST - Korea Advanced Institute of Science & Technology,"Daejeon, South Korea",77.9,85.5,83,69.2,99.9,23.5,
=49,The University of New South Wales (UNSW Sydney),"Sydney, Australia",77.8,95.3,98.7,,77.1,100,95.2
=49,Brown University,"Providence, United States",77.8,73.5,68.3,78.2,95.5,69,66.7
=51,The University of Queensland,"Brisbane, Australia",77.6,93.4,82.7,33.1,79.9,100,84.6
=51,The University of Warwick,"Coventry, United Kingdom",77.6,83.9,98.9,62.9,58.2,96,99
=53,University of Wisconsin-Madison,"Madison, United States",75.7,94.5,55.5,84.2,56.4,52.7,33.1
=53,Ecole Polytechnique,"Palaiseau, France",75.7,62.7,99.6,99.4,56,96.9,90.9
55,City University of Hong Kong,"Hong Kong, Hong Kong SAR",75.4,64.8,43.9,83,91.4,100,98.4
56,Tokyo Institute of Technology (Tokyo Tech),"Tokyo, Japan",74.9,82.7,77.4,90.4,67.5,25.3,26.3
57,University of Amsterdam,"Amsterdam, Netherlands",74.3,91.4,77.5,42.8,80.2,72.4,35.3
58,Carnegie Mellon University,"Pittsburgh, United States",74.2,83.8,81.4,35.1,94.1,32.2,99.8
59,University of Washington,"Seattle, United States",73.9,91.8,52.8,45.7,92,40.6,47.5
60,Technical University of Munich,"Munich, Germany",72.4,85,97.6,86.4,28.9,53.7,57
61,Shanghai Jiao Tong University,"Shanghai, China (Mainland)",72.2,87.1,95.7,37.3,80.1,71,
62,Delft University of Technology,"Delft, Netherlands",72.1,75.6,86.9,28.3,94.2,96.5,74.8
=63,Osaka University,"Osaka City, Japan",71.7,88.6,68.2,83.1,57,,
=63,University of Glasgow,"Glasgow, United Kingdom",71.7,80,63,61.6,57.6,91.2,96.9
65,Monash University,"Melbourne, Australia",71.6,91.8,93.1,,64.2,100,96.4
66,University of Illinois at Urbana-Champaign,"Champaign, United States",71.4,95.1,62.2,,93.8,35.3,71.2
67,University of Texas at Austin,"Austin, United States",70.7,97.5,82.9,,96.1,,22.6
=68,Ludwig-Maximilians-Universität München,"Munich, Germany",70.2,96.1,83.5,43.6,49.3,58.6,39
=68,National Taiwan University (NTU),"Taipei City, Taiwan",70.2,95.7,68.9,36,80.7,,
=68,University of Copenhagen,"Copenhagen, Denmark",70.2,81.9,64.8,100,25,86,31.3
71,Georgia Institute of Technology,"Atlanta, United States",69.8,76.1,78,48.8,86,,87.5
72,Ruprecht-Karls-Universität Heidelberg,"Heidelberg, Germany",69.7,90.1,70.5,69.7,36.4,48.4,59.5
73,Lund University,"Lund, Sweden",69.1,82,78.8,49.3,51.7,89.1,73.3
74,Durham University,"Durham, United Kingdom",68.8,64.9,95.7,30.7,89.5,94,87.6
=75,Tohoku University,"Sendai City, Japan",68.7,78.7,57.5,97.9,52.3,,
=75,University of Nottingham,"Nottingham, United Kingdom",68.7,71.4,91.3,59,50.7,90.3,87.9
77,University of St Andrews,"St. Andrews, United Kingdom",68.2,54.3,58.4,73,79.2,98.2,99.9
78,"University of North Carolina, Chapel Hill","Chapel Hill, United States",68.1,76.9,44.8,77.1,74.7,34.2,
79,KU Leuven,"Leuven, Belgium",67.9,87.4,71.6,,89.4,83.7,41.3
80,University of Zurich,"Zürich, Switzerland",67.8,68.6,69.3,95.8,29.9,100,62.2
81,The University of Auckland,"Auckland, New Zealand",67.3,90.1,85.8,,50,86.5,89.5
82,University of Birmingham,"Birmingham, United Kingdom",67.2,73.9,88.7,49.3,50.1,90.3,84.3
83,Pohang University of Science And Technology (POSTECH),"Pohang , South Korea",67,47,57.3,99.5,100,44.5,
84,The University of Sheffield,"Sheffield, United Kingdom",66.9,70.3,66.2,62.7,52,84.8,97.1
=85,Universidad de Buenos Aires (UBA),"Buenos Aires, Argentina",65.8,92.8,98.9,65.2,,46.4,58.4
=85,"University of California, Davis","Davis, United States",65.8,80.6,49.9,25.6,88.7,65.5,47.6
87,University of Southampton,"Southampton, United Kingdom",65.6,63.3,48.2,72.8,56.2,93.3,96
88,The Ohio State University,"Columbus, United States",65.4,75.5,52,77.2,40.1,81.3,48.1
89,Boston University,"Boston, United States",65.2,71.3,83.9,56.5,63.1,,77.7
90,Rice University,"Houston, United States",65,43,,85.4,98,89.2,88.8
91,University of Helsinki,"Helsinki, Finland",64.7,75.5,57.2,93.7,31.2,65,
92,Purdue University,"West Lafayette, United States",64.5,74.5,70.8,30.2,63.6,96.1,77.4
93,University of Leeds,"Leeds, United Kingdom",64.2,72,81.8,49.3,47.3,77.9,77.4
94,University of Alberta,"Edmonton, Canada",64,70.6,61.9,53.5,49.8,92.6,83.5
=95,Pennsylvania State University,"University Park, United States",63.6,81.3,72.1,,81.6,,44.1
=95,University of Geneva,"Geneva, Switzerland",63.6,57.8,31.4,53.7,81.9,100,99.5
97,KTH Royal Institute of Technology,"Stockholm, Sweden",63.1,52.2,88.1,62,71.3,90.6,42.9
=98,Uppsala University,"Uppsala, Sweden",62.8,77.6,53.1,48.5,59.5,24.6,71.6
=98,Korea University,"Seoul, South Korea",62.8,70.8,82.6,82.9,34.9,18.8,35.1
