_univ-rank,logo-wrapper src,uni-link,uni-link href,Location,overall-score-span,_directorypage href
1,https://www.topuniversities.com/sites/default/files/massachusetts-institute-of-technology-mit_410_small.jpg,Massachusetts Institute of Technology (MIT),https://www.topuniversities.com/universities/massachusetts-institute-technology-mit,"Cambridge, United States",100,javascript:void(0)
2,https://www.topuniversities.com/sites/default/files/stanford-university_573_small.jpg,Stanford University,https://www.topuniversities.com/universities/stanford-university,"Stanford, United States",98.4,javascript:void(0)
3,https://www.topuniversities.com/sites/default/files/harvard-university_253_small.jpg,Harvard University,https://www.topuniversities.com/universities/harvard-university,"Cambridge, United States",97.4,javascript:void(0)
4,https://www.topuniversities.com/sites/default/files/university-of-oxford_478_small.jpg,University of Oxford,https://www.topuniversities.com/universities/university-oxford,"Oxford, United Kingdom",97.2,javascript:void(0)
5,https://www.topuniversities.com/sites/default/files/california-institute-of-technology-caltech_94_small.jpg,California Institute of Technology (Caltech),https://www.topuniversities.com/universities/california-institute-technology-caltech,"Pasadena, United States",96.9,javascript:void(0)
6,https://www.topuniversities.com/sites/default/files/eth-zurich-swiss-federal-institute-of-technology_201_small.jpg,ETH Zurich - Swiss Federal Institute of Technology,https://www.topuniversities.com/universities/eth-zurich-swiss-federal-institute-technology,"Zürich, Switzerland",95.9,javascript:void(0)
7,https://www.topuniversities.com/sites/default/files/university-of-cambridge_95_small.jpg,University of Cambridge,https://www.topuniversities.com/universities/university-cambridge,"Cambridge, United Kingdom",95,javascript:void(0)
8,https://www.topuniversities.com/sites/default/files/ucl_592560cf2aeae70239af4bf1_small.jpg,UCL,https://www.topuniversities.com/universities/ucl,"London, United Kingdom",94.8,javascript:void(0)
9,https://www.topuniversities.com/sites/default/files/imperial-college-london_592560cf2aeae70239af4be8_small.jpg,Imperial College London,https://www.topuniversities.com/universities/imperial-college-london,"London, United Kingdom",94.1,javascript:void(0)
10,https://www.topuniversities.com/sites/default/files/university-of-chicago_120_small.jpg,University of Chicago,https://www.topuniversities.com/universities/university-chicago,"Chicago, United States",92,javascript:void(0)
