"","newTable[, 2]"
"1","Universiti Kebangsaan Malaysia"
"2","Universiti Putra Malaysia"
"3","Universiti Sains Malaysia"
"4","Universiti Teknologi Malaysia"
"5","Universiti Teknologi Petronas"
"6","Universiti Teknologi MARA"
"7","Universiti Utara Malaysia"
"8","University of Malaya"
"9","Universiti Tunku Abdul Rahman (UTAR)"
"15","Universiti Tenaga Nasional (UNITEN)"
"26","Universiti Malaysia Sarawak (UNIMAS)"
"31","Universiti Malaysia Perlis"
"39","Multimedia University"
"50","Universiti Kuala Lumpur"
"54","Universiti Teknikal Malaysia Melaka"
